Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_20508_03030484_cnota-cd-co1.djvu;Cnota-cd - Co1;cnota-cd-co1;cnota;co;1;1;85;
KRIJP_20509_03030485_co2.djvu;Co2;co2;co;co;2;2;86;
KRIJP_20510_03030486_co3.djvu;Co3;co3;co;co;3;3;87;
KRIJP_20511_03030487_co4.djvu;Co4;co4;co;co;4;4;88;
KRIJP_20513_03030488_co5.djvu;Co5;co5;co;co;5;5;89;
KRIJP_20514_03030489_co6.djvu;Co6;co6;co;co;6;6;90;
KRIJP_20515_03030490_co7.djvu;Co7;co7;co;co;7;7;91;
KRIJP_20516_03030496_d-dac.djvu;D - Dać;d-dac;d;dać;1;1;92;
KRIJP_20521_03030491_dac2.djvu;Dać2;dac2;dać;dać;2;2;93;
KRIJP_20522_03030492_dac3-daleko1.djvu;Dać3 - Daleko1;dac3-daleko1;dać;daleko;3;1;94;
KRIJP_20518_03030493_daleko-darowizna.djvu;Daleko - Darowizna;daleko-darowizna;daleko;darowizna;1;1;95;
KRIJP_20519_03030494_darowanie-dawnosc.djvu;Darowanie - Dawność;darowanie-dawnosc;darowanie;dawność;1;1;96;
KRIJP_20520_03030495_dawny-deklaracja.djvu;Dawny - Deklaracja;dawny-deklaracja;dawny;deklaracja;1;1;97;
KRIJP_20524_03030497_deprymowac-dialektyk.djvu;Deprymować - Dialektyka;deprymowac-dialektyk;deprymować;dialektyka;1;1;98;
KRIJP_20525_03030498_dialog-dla1.djvu;Dialog - Dla1;dialog-dla1;dialog;dla;1;1;99;
KRIJP_20526_03030499_dla2-dlatego.djvu;Dla2 - Dlatego;dla2-dlatego;dla;dlatego;2;1;100;
KRIJP_20550_03030500_dlatego2-dlugo.djvu;Dlatego2 - Długo;dlatego2-dlugo;dlatego;długo;2;1;101;
KRIJP_21021_03030501_dlugobok-dnowac.djvu;Długobok - Dnować;dlugobok-dnowac;długobok;dnować;1;1;102;
KRIJP_21022_03030502_dlugobok-do1.djvu;Długobok - Do1;dlugobok-do1;długobok;do;1;1;103;
KRIJP_20551_03030503_do2.djvu;Do2;do2;do;do;2;2;104;
KRIJP_20553_03030504_do3.djvu;Do3;do3;do;do;3;3;105;
KRIJP_20555_03030505_do4.djvu;Do4;do4;do;do;4;4;106;
KRIJP_20557_03030506_do5.djvu;Do5;do5;do;do;5;5;107;
